fold,iso,a,b,c,lat,lng,training_count
0,DE,10,23,35,53.882175738072746,9.711405588003217,29
0,DE,11,16,24,49.562775000000016,9.892691,1
0,DE,11,16,26,49.55974076583657,9.533005542267151,2
0,DE,11,18,26,49.14250915992221,8.105168068479383,4
0,DE,11,20,26,49.66778470012307,8.478194703161353,20
0,DE,11,20,30,50.47514821044971,8.985344312284788,22
0,DE,11,20,32,50.23769577970464,7.163775995866991,45
0,DE,11,21,30,50.62574932172428,9.33409340957138,3
0,DE,12,13,20,51.61062604340077,7.231986234525327,44
0,DE,12,13,25,52.504140403782316,7.141381199268893,2
0,DE,12,13,30,51.20777868869205,8.793651155089444,2
0,DE,12,13,34,51.998730536063775,8.519121747025869,10
0,DE,12,15,34,52.191539198271926,9.69889339919667,6
0,DE,12,21,30,51.425688,9.500833,1
0,DE,12,21,34,51.70489501982162,9.541591491765836,4
0,DE,12,22,25,52.82132753152983,7.887347980981052,8
0,DE,12,22,34,52.44742647275796,8.76272436508215,11
0,DE,13,12,22,51.686720503354586,13.956639267870715,70
0,DE,13,12,23,51.915166745343015,12.361522633678193,11
0,DE,13,12,29,50.95813980945792,13.101169725284775,3
0,DE,13,12,33,52.42093504262023,13.856438341415314,8
0,DE,13,19,33,52.866884727903106,13.890098667400617,20
0,DE,14,14,28,47.9782742253382,10.2056823994423,27
0,DE,14,16,24,49.26850925170468,10.137678399453883,3
0,DE,14,16,26,49.05441659399649,9.80759580440916,5
0,DE,14,18,18,48.10701561398216,8.593500383629387,38
0,DE,14,18,26,48.933448525487144,8.739897217115702,14
0,DE,14,18,28,48.468236,9.716554000000002,1
0,DE,15,15,19,52.98720346496341,11.082900698800284,32
0,DE,15,15,23,52.233463860250104,11.394159701208773,13
0,DE,15,15,34,52.396357268160905,10.204212440503401,3
0,DE,15,15,35,53.516205,10.527297,1
0,DE,15,19,19,52.98962553664135,12.170392788193322,15
0,DE,15,19,23,52.448097,12.508369000000002,1
0,DE,15,19,31,53.99208739158696,12.567182703902985,20
0,DE,15,19,33,53.192317192410734,13.382989116359406,13
0,DE,15,23,31,54.28210383440526,11.180232434087783,3
0,ES,16,25,46,42.01141638332278,2.823477812722068,44
0,ES,16,25,52,41.715951007593,1.251293756231416,23
0,ES,16,30,47,40.63912818100721,0.24936534017743353,4
0,ES,16,30,49,42.09987070704244,-0.48235082038085153,15
0,ES,16,30,52,41.02381263397161,0.5399434212848961,4
0,ES,17,27,40,43.092718509495796,-8.111966554738894,72
0,ES,17,27,44,42.51764897740837,-6.493303617516215,2
0,ES,17,28,50,41.02100726138494,-6.374461060294732,5
0,ES,17,29,44,43.139457150258956,-5.2856179339554465,39
0,ES,18,28,38,41.681194802346205,-3.278725413876675,21
0,ES,18,28,50,40.59566209066875,-5.683296589451784,7
0,ES,18,28,51,40.739507850790844,-4.078649051672052,42
0,ES,18,29,38,42.914601542914376,-2.9310841913059162,15
0,ES,18,29,44,43.2351286048665,-4.146099570718355,4
0,ES,18,30,38,42.083162401145366,-2.353728248995469,6
0,ES,18,30,49,41.75258530473185,-1.4073716751423488,19
0,ES,18,34,51,39.83549333921004,-4.028410508796256,3
0,ES,18,34,53,39.570543,-3.851466,1
0,ES,19,26,37,28.068328272533503,-14.700104343439062,28
0,ES,19,26,43,28.87990863701631,-13.704234556429991,45
0,ES,20,24,36,38.076888564668565,-6.308689951529042,21
0,ES,20,24,41,36.67570422161634,-5.75790132057547,15
0,ES,20,24,50,39.67006872146694,-7.261541592788276,2
0,ES,20,34,53,38.91366143976247,-3.7123609868286196,30
0,ES,20,35,41,36.83028206993777,-4.38157983749054,32
0,ES,20,35,45,37.32531557776915,-3.319748200892667,45
0,ES,21,33,39,39.56140852295762,3.118746627096403,93
0,ES,22,32,48,28.59360521301109,-17.366676902701098,31
0,ES,23,30,47,40.31432726699829,-0.35571681637230185,11
0,ES,23,31,42,38.341120864314824,-0.8799393668249026,79
0,ES,23,31,47,39.51455438105686,-0.43816461680024904,22
0,ES,23,31,53,39.038644,-1.907489,1
0,ES,23,34,53,39.031159637244635,-2.5453524464650505,18
0,ES,23,35,45,37.356047,-2.029078,1
0,FI,24,43,55,60.62760373842637,24.669630466096244,55
0,FI,24,43,56,60.49383600000001,26.85648,1
